Well	Content	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data
	Time	0 min 	4 min 15 s	8 min 30 s	12 min 45 s	17 min 	21 min 15 s	25 min 30 s	29 min 44 s	33 min 59 s	38 min 14 s	42 min 29 s	46 min 44 s	50 min 58 s	55 min 13 s	59 min 28 s	63 min 43 s	67 min 58 s	72 min 13 s	76 min 27 s	80 min 42 s	84 min 58 s	89 min 13 s	93 min 28 s	97 min 44 s	101 min 58 s	106 min 14 s	110 min 29 s	114 min 43 s	118 min 58 s	123 min 13 s	127 min 27 s	131 min 42 s	135 min 57 s	140 min 12 s	144 min 26 s	148 min 41 s	152 min 56 s	157 min 11 s	161 min 25 s	165 min 40 s	169 min 54 s	174 min 9 s	178 min 24 s	182 min 38 s	186 min 53 s	191 min 8 s	195 min 22 s	199 min 37 s	203 min 52 s	208 min 6 s
A01	Sample X1	1522882	1581296	1605780	1590542	1542231	1514065	1423460	1354541	1252030	1149583	1002832	877366	711765	528171	346603	203736	144793	124110	103355	98310	85493	88796	81273	76737	74372	72388	70837	70316	67358	67265	66081	61041	66868	59980	69922	57818	63588	63205	60312	70423	67988	58366	56470	65982	57995	64348	57446	59476	56836	55326
A02	Sample X2	1369631	1493311	1525513	1521160	1510398	1434195	1343877	1248598	1121416	972338	833357	620903	463493	340418	287383	295312	280857	274335	235196	311560	288631	302331	276191	296331	307840	279956	279403	262936	258485	254041	223236	228288	222915	208011	187892	181211	183066	150753	142042	140506	132716	121827	125628	118808	111648	118125	120250	107198	102905	109181
A03	Sample X3	1429038	1525090	1542252	1542513	1511750	1468522	1401302	1310713	1225742	1118248	1015507	844960	693927	581940	522128	464508	470930	409572	439911	411981	404018	390900	395611	393025	380051	385213	341243	332128	374027	384006	396252	451697	510083	527288	587511	608108	671468	687165	698311	389346	437258	492001	422475	474110	522412	375360	395737	418880	421363	457501
A04	Sample X4	1471135	1532286	1572328	1583127	1578533	1534098	1506048	1445268	1390705	1311457	1260400	1123020	1015202	880321	776095	728238	670858	626910	550651	525242	448163	408441	384163	353757	350455	376456	376363	377346	382901	411363	405418	434336	457710	475006	528527	496957	552798	529583	471868	464772	463715	460481	496037	448438	481921	500660	469051	397598	418947	364360
A05	Sample X5	1359943	1485987	1540402	1547718	1517606	1458413	1384186	1258842	1159573	1030208	866677	704893	531435	392436	326877	282248	251473	209320	185490	163361	128012	113163	106043	96250	79773	67230	63976	63007	59551	60292	59286	60957	56728	56261	55590	54135	53341	53918	51972	52032	49852	50565	48848	50443	49181	49993	47387	46865	47117	46108
A06	Sample X6	1427071	1532972	1560375	1527061	1446138	1357180	1227348	1081470	901026	749802	564391	314173	153055	93675	76936	64607	58532	54140	56442	45351	44436	43503	44927	39121	41787	37227	34798	34285	33697	34568	35118	33837	31858	32032	31217	30633	30962	31357	30467	30271	28771	28717	27763	28805	28067	26951	27441	28223	29778	26155
A07	Sample X7	1385353	1499177	1558522	1566282	1537646	1470728	1383286	1285331	1135757	994305	842276	633813	452450	338587	287402	267642	204803	194978	165717	132771	129146	108967	94357	96348	72237	62162	59251	57226	56785	54023	53460	53321	50531	51823	50500	49332	49602	48660	47957	47227	46343	46293	44630	44503	45475	44657	42398	42911	43570	43001
A08	Sample X8	1401218	1497772	1555777	1571945	1551120	1514790	1443155	1327781	1208551	1108051	966775	793496	608837	390031	204203	125868	99320	81111	71360	66735	61588	59945	57168	59128	57771	52733	51506	106648	50976	49917	46793	132351	53601	45495	122021	40875	42058	42842	41475	62548	46970	40038	58120	37975	38547	38117	38711	38745	38987	50045
A09	Sample X9	1399163	1514662	1566503	1610392	1603545	1580190	1525787	1472416	1398381	1323667	1238988	1142602	1018131	921352	868448	835216	816196	786263	739901	695860	637061	557816	478141	376811	265403	169753	130032	119577	116025	113253	112230	111948	112506	106063	105803	102761	105611	102705	102495	101407	97618	97958	96297	95101	96180	93416	94933	93050	92538	92537
A10	Sample X10	1419582	1483755	1545708	1567092	1556992	1522313	1457170	1371690	1241350	1146673	1055438	875183	723870	533786	332098	170658	116086	89716	78180	70390	64917	61731	58143	55672	52641	51921	64676	50741	49795	46353	46866	47020	45547	44615	45010	45440	44467	43021	40392	43078	38901	41485	39482	37991	38265	36882	37238	39583	37962	36491
A11	Sample X11	1348233	1464900	1545452	1582750	1587906	1572295	1515148	1456743	1391360	1317845	1204276	1101522	966967	858146	775895	727501	692363	645002	603771	531346	473721	391448	302526	223958	172798	120840	88500	69231	62246	63618	58621	55453	55676	52822	51886	52173	50387	49465	47768	46548	48082	45347	44917	45885	44266	43457	42345	42165	42463	41241
