platereader_loc,reactor_block_loc,platereader_conc
A1,A1,1.0
A2,A2,1.0
A3,A3,1.0
A4,A4,1.0
A5,A5,1.0
A6,A6,1.0
A7,A7,1.0
A8,A8,1.0
A9,A9,1.0
A10,A10,1.0
A11,A11,1.0
A12,A12,1.0
B1,A1,1.0
B2,A2,1.0
B3,A3,1.0
B4,A4,1.0
B5,A5,1.0
B6,A6,1.0
B7,A7,1.0
B8,A8,1.0
B9,A9,1.0
B10,A10,1.0
B11,A11,1.0
B12,A12,1.0
C1,A1,1.0
C2,A2,1.0
C3,A3,1.0
C4,A4,1.0
C5,A5,1.0
C6,A6,1.0
C7,A7,1.0
C8,A8,1.0
C9,A9,1.0
C10,A10,1.0
C11,A11,1.0
C12,A12,1.0
D1,A1,0.1
D2,A2,0.1
D3,A3,0.1
D4,A4,0.1
D5,A5,0.1
D6,A6,0.1
D7,A7,0.1
D8,A8,0.1
D9,A9,0.1
D10,A10,0.1
D11,A11,0.1
D12,A12,0.1
E1,A1,0.1
E2,A2,0.1
E3,A3,0.1
E4,A4,0.1
E5,A5,0.1
E6,A6,0.1
E7,A7,0.1
E8,A8,0.1
E9,A9,0.1
E10,A10,0.1
E11,A11,0.1
E12,A12,0.1
F1,A1,0.1
F2,A2,0.1
F3,A3,0.1
F4,A4,0.1
F5,A5,0.1
F6,A6,0.1
F7,A7,0.1
F8,A8,0.1
F9,A9,0.1
F10,A10,0.1
F11,A11,0.1
F12,A12,0.1
G1,B1,1.0
G2,B1,1.0
G3,B1,1.0
G4,B1,0.1
G5,B1,0.1
G6,B1,0.1
G7,B2,1.0
G8,B2,1.0
G9,B2,1.0
G10,B2,0.1
G11,B2,0.1
G12,B2,0.1
H1,B3,1.0
H2,B3,1.0
H3,B3,1.0
H4,B3,0.1
H5,B3,0.1
H6,B3,0.1
H7,,
H8,,
H9,,
H10,,
H11,,
H12,,
